"filename", "language", "Python", "JSON", "HTML", "pip requirements", "Properties", "Batch", "C++", "PowerShell", "CSS", "Markdown", "JavaScript", "XML", "C", "comment", "blank", "total"
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\interfaces.py", "Python", 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 456, 118, 927
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\loading.py", "Python", 1060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 223, 1490
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\mapper.py", "Python", 1900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1331, 363, 3594
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\path_registry.py", "Python", 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 90, 483
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\persistence.py", "Python", 1823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 327, 2365
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\properties.py", "Python", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 45, 438
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\query.py", "Python", 1194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1971, 267, 3432
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\relationships.py", "Python", 1966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1413, 301, 3680
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\scoping.py", "Python", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 21, 212
"c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\orm\session.py", "Python", 1878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1995, 390, 4263
