Date : 2021-09-15 22:16:08
Directory : c:\Users\Neel Shettigar\Desktop\ReachTeens
Total : 1329 files,  331557 codes, 141720 comments, 66760 blanks, all 540037 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\EUI64.py                                           | Python           |          6 |         18 |          8 |         32 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\GPOS.py                                            | Python           |         93 |         17 |         19 |        129 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\HINFO.py                                           | Python           |         35 |         17 |         14 |         66 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\HIP.py                                             | Python           |         55 |         17 |         14 |         86 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\ISDN.py                                            | Python           |         46 |         17 |         14 |         77 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\LOC.py                                             | Python           |        259 |         28 |         40 |        327 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\MX.py                                              | Python           |          4 |         16 |          6 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\NINFO.py                                           | Python           |          4 |         17 |          7 |         28 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\NS.py                                              | Python           |          4 |         16 |          6 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\NSEC.py                                            | Python           |         36 |         18 |         14 |         68 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\NSEC3.py                                           | Python           |         75 |         18 |         19 |        112 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\NSEC3PARAM.py                                      | Python           |         43 |         16 |         13 |         72 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\OPENPGPKEY.py                                      | Python           |         24 |         17 |         12 |         53 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\OPT.py                                             | Python           |         35 |         27 |         15 |         77 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\PTR.py                                             | Python           |          4 |         16 |          6 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\RP.py                                              | Python           |         29 |         17 |         13 |         59 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\RRSIG.py                                           | Python           |         87 |         17 |         21 |        125 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\RT.py                                              | Python           |          4 |         16 |          6 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\SMIMEA.py                                          | Python           |          4 |          2 |          4 |         10 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\SOA.py                                             | Python           |         48 |         17 |         14 |         79 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\SPF.py                                             | Python           |          4 |         17 |          7 |         28 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\SSHFP.py                                           | Python           |         39 |         17 |         14 |         70 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\TKEY.py                                            | Python           |         64 |         38 |         17 |        119 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\TLSA.py                                            | Python           |          4 |          2 |          5 |         11 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\TSIG.py                                            | Python           |         71 |         36 |         14 |        121 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\TXT.py                                             | Python           |          4 |         16 |          6 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\URI.py                                             | Python           |         45 |         18 |         17 |         80 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\X25.py                                             | Python           |         27 |         17 |         14 |         58 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\ANY\__init__.py                                        | Python           |         42 |         16 |          4 |         62 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\CH\A.py                                                | Python           |         28 |         18 |         13 |         59 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\CH\__init__.py                                         | Python           |          3 |         16 |          4 |         23 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\A.py                                                | Python           |         24 |         16 |         12 |         52 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\AAAA.py                                             | Python           |         24 |         16 |         12 |         52 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\APL.py                                              | Python           |        105 |         25 |         22 |        152 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\DHCID.py                                            | Python           |         23 |         17 |         14 |         54 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\HTTPS.py                                            | Python           |          4 |          2 |          3 |          9 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\IPSECKEY.py                                         | Python           |         52 |         17 |         15 |         84 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\KX.py                                               | Python           |          4 |         16 |          6 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\NAPTR.py                                            | Python           |         64 |         17 |         18 |         99 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\NSAP.py                                             | Python           |         30 |         17 |         14 |         61 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\NSAP_PTR.py                                         | Python           |          4 |         16 |          6 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\PX.py                                               | Python           |         40 |         17 |         16 |         73 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\SRV.py                                              | Python           |         42 |         17 |         17 |         76 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\SVCB.py                                             | Python           |          4 |          2 |          3 |          9 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\WKS.py                                              | Python           |         65 |         17 |         15 |         97 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\IN\__init__.py                                         | Python           |         14 |         16 |          4 |         34 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\__init__.py                                            | Python           |         14 |         16 |          4 |         34 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\dnskeybase.py                                          | Python           |         46 |         19 |         18 |         83 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\dsbase.py                                              | Python           |         44 |         16 |         13 |         73 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\euibase.py                                             | Python           |         37 |         20 |         13 |         70 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\mxbase.py                                              | Python           |         44 |         22 |         24 |         90 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\nsbase.py                                              | Python           |         28 |         20 |         17 |         65 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\svcbbase.py                                            | Python           |        422 |         31 |         91 |        544 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\tlsabase.py                                            | Python           |         42 |         17 |         14 |         73 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\txtbase.py                                             | Python           |         47 |         27 |         14 |         88 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rdtypes\util.py                                                | Python           |        186 |         21 |         25 |        232 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\renderer.py                                                    | Python           |        118 |         97 |         36 |        251 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\resolver.py                                                    | Python           |        981 |        489 |        180 |      1,650 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\reversename.py                                                 | Python           |         37 |         52 |         12 |        101 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\rrset.py                                                       | Python           |         89 |        104 |         37 |        230 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\serial.py                                                      | Python           |        102 |          2 |         14 |        118 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\set.py                                                         | Python           |        136 |         88 |         55 |        279 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\tokenizer.py                                                   | Python           |        359 |        245 |         72 |        676 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\transaction.py                                                 | Python           |        268 |        194 |         51 |        513 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\tsig.py                                                        | Python           |        197 |         76 |         71 |        344 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\tsigkeyring.py                                                 | Python           |         27 |         26 |         12 |         65 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\ttl.py                                                         | Python           |         47 |         27 |         11 |         85 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\update.py                                                      | Python           |        174 |        108 |         38 |        320 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\version.py                                                     | Python           |         18 |         23 |          6 |         47 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\versioned.py                                                   | Python           |        296 |         92 |         68 |        456 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\wire.py                                                        | Python           |         63 |          6 |         17 |         86 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\xfr.py                                                         | Python           |        157 |        120 |         19 |        296 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\zone.py                                                        | Python           |        353 |        477 |         97 |        927 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\dns\zonefile.py                                                    | Python           |        301 |         64 |         37 |        402 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\email_validator\__init__.py                                        | Python           |        295 |        181 |         93 |        569 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\__init__.py                                                  | Python           |         44 |          0 |          3 |         47 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\__main__.py                                                  | Python           |          2 |          0 |          2 |          4 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\app.py                                                       | Python           |        794 |      1,111 |        184 |      2,089 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\blueprints.py                                                | Python           |        320 |        201 |         83 |        604 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\cli.py                                                       | Python           |        618 |        192 |        185 |        995 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\config.py                                                    | Python           |        108 |        162 |         22 |        292 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\ctx.py                                                       | Python           |        198 |        220 |         63 |        481 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\debughelpers.py                                              | Python           |        126 |         16 |         30 |        172 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\globals.py                                                   | Python           |         34 |         14 |         12 |         60 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\helpers.py                                                   | Python           |        321 |        435 |         81 |        837 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\json\__init__.py                                             | Python           |        137 |        167 |         47 |        351 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\json\tag.py                                                  | Python           |        146 |         95 |         72 |        313 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\logging.py                                                   | Python           |         31 |         25 |         19 |         75 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\scaffold.py                                                  | Python           |        307 |        456 |        102 |        865 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\sessions.py                                                  | Python           |        181 |        160 |         64 |        405 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\signals.py                                                   | Python           |         35 |          9 |         13 |         57 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\templating.py                                                | Python           |        107 |         28 |         31 |        166 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\testing.py                                                   | Python           |        159 |         84 |         38 |        281 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\typing.py                                                    | Python           |         35 |          4 |          8 |         47 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\views.py                                                     | Python           |         51 |         81 |         26 |        158 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask\wrappers.py                                                  | Python           |         60 |         78 |         30 |        168 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_bcrypt.py                                                    | Python           |        136 |          2 |         56 |        194 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\__about__.py                                           | Python           |         10 |          0 |          1 |         11 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\__init__.py                                            | Python           |         63 |          1 |          4 |         68 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\_compat.py                                             | Python           |         32 |          1 |         20 |         53 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\config.py                                              | Python           |         26 |         19 |         17 |         62 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\login_manager.py                                       | Python           |        340 |         34 |         94 |        468 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\mixins.py                                              | Python           |         57 |          3 |         17 |         77 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\signals.py                                             | Python           |         18 |         23 |         16 |         57 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\test_client.py                                         | Python           |         10 |          4 |          6 |         20 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_login\utils.py                                               | Python           |        295 |          6 |         89 |        390 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_mail.py                                                      | Python           |        358 |        115 |        110 |        583 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_sqlalchemy\__init__.py                                       | Python           |        612 |        346 |        175 |      1,133 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_sqlalchemy\_compat.py                                        | Python           |         28 |          0 |         17 |         45 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_sqlalchemy\model.py                                          | Python           |         80 |         39 |         36 |        155 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_sqlalchemy\utils.py                                          | Python           |         27 |          9 |         10 |         46 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\__init__.py                                              | Python           |          4 |          0 |          2 |          6 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\_compat.py                                               | Python           |         15 |          2 |          9 |         26 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\csrf.py                                                  | Python           |        200 |         97 |         76 |        373 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\file.py                                                  | Python           |         64 |         33 |         32 |        129 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\form.py                                                  | Python           |         85 |         38 |         35 |        158 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\html5.py                                                 | Python           |          9 |          0 |          4 |         13 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\i18n.py                                                  | Python           |         30 |          4 |         17 |         51 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\recaptcha\__init__.py                                    | Python           |          3 |          1 |          1 |          5 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\recaptcha\fields.py                                      | Python           |         10 |          1 |          7 |         18 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\recaptcha\validators.py                                  | Python           |         52 |          2 |         22 |         76 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\flask_wtf\recaptcha\widgets.py                                     | Python           |         28 |          1 |         11 |         40 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\__init__.py                                          | Python           |         60 |         15 |         20 |         95 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\cities.json                                          | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\continents.json                                      | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\countries.json                                       | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\geonamesdata.py                                      | Python           |         53 |          1 |          0 |         54 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\mappers.py                                           | Python           |         12 |         16 |          5 |         33 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\mappings.py                                          | Python           |         72 |          2 |          1 |         75 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\geonamescache\us_counties.json                                     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\__init__.py                                               | Python           |         27 |         25 |         11 |         63 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\greenlet.c                                                | C                |      1,535 |        295 |        182 |      2,012 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\greenlet.h                                                | C++              |         84 |         39 |         24 |        147 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\setup_switch_x64_masm.cmd                        | Batch            |          2 |          0 |          1 |          3 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_aarch64_gcc.h                             | C++              |         32 |         33 |          5 |         70 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_alpha_unix.h                              | C++              |         26 |          0 |          5 |         31 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_amd64_unix.h                              | C++              |         38 |         38 |          9 |         85 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_arm32_gcc.h                               | C++              |         53 |         22 |          5 |         80 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_arm32_ios.h                               | C++              |         42 |         20 |          6 |         68 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_csky_gcc.h                                | C++              |         41 |          0 |          8 |         49 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_m68k_gcc.h                                | C++              |         26 |          7 |          6 |         39 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_mips_unix.h                               | C++              |         39 |         18 |          8 |         65 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_ppc64_aix.h                               | C++              |         47 |         49 |          8 |        104 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_ppc64_linux.h                             | C++              |         51 |         47 |          8 |        106 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_ppc_aix.h                                 | C++              |         29 |         51 |          8 |         88 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_ppc_linux.h                               | C++              |         30 |         47 |          8 |         85 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_ppc_macosx.h                              | C++              |         31 |         43 |          9 |         83 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_ppc_unix.h                                | C++              |         30 |         45 |          8 |         83 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_riscv_unix.h                              | C++              |         28 |          0 |          5 |         33 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_s390_unix.h                               | C++              |         41 |         38 |          9 |         88 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_sparc_sun_gcc.h                           | C++              |         28 |         47 |         18 |         93 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_x32_unix.h                                | C++              |         38 |         16 |         10 |         64 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_x64_msvc.h                                | C++              |          8 |         46 |          6 |         60 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_x86_msvc.h                                | C++              |         43 |         32 |         14 |         89 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\platform\switch_x86_unix.h                                | C++              |         57 |         40 |          9 |        106 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\slp_platformselect.h                                      | C++              |         54 |          3 |          2 |         59 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\_test_extension.c                                   | C                |        185 |          3 |         29 |        217 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\_test_extension_cpp.cpp                             | C++              |         93 |         10 |         19 |        122 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_contextvars.py                                 | Python           |        201 |         21 |         45 |        267 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_cpp.py                                         | Python           |         14 |          0 |          5 |         19 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_extension_interface.py                         | Python           |         60 |          3 |         15 |         78 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_gc.py                                          | Python           |         52 |         17 |          9 |         78 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_generator.py                                   | Python           |         42 |          2 |         16 |         60 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_generator_nested.py                            | Python           |        119 |          4 |         43 |        166 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_greenlet.py                                    | Python           |        514 |         37 |         77 |        628 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_leaks.py                                       | Python           |         68 |          9 |          9 |         86 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_stack_saved.py                                 | Python           |         14 |          0 |          6 |         20 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_throw.py                                       | Python           |         85 |          0 |         16 |        101 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_tracing.py                                     | Python           |         49 |          0 |          4 |         53 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_version.py                                     | Python           |         30 |          1 |          9 |         40 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\greenlet\tests\test_weakref.py                                     | Python           |         30 |          0 |          5 |         35 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\idna-3.2.dist-info\LICENSE.md                                      | Markdown         |         23 |          0 |          7 |         30 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\idna\__init__.py                                                   | Python           |         43 |          0 |          2 |         45 |
