Date : 2021-09-15 22:16:08
Directory : c:\Users\Neel Shettigar\Desktop\ReachTeens
Total : 1329 files,  331557 codes, 141720 comments, 66760 blanks, all 540037 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\mariadb.py                               | Python           |         18 |          0 |          6 |         24 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\mariadbconnector.py                      | Python           |        166 |         38 |         34 |        238 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\mysqlconnector.py                        | Python           |        164 |         29 |         48 |        241 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\mysqldb.py                               | Python           |        185 |        109 |         42 |        336 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\oursql.py                                | Python           |        180 |         47 |         47 |        274 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\provision.py                             | Python           |         52 |         10 |         17 |         79 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\pymysql.py                               | Python           |         46 |         38 |         15 |         99 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\pyodbc.py                                | Python           |         66 |         50 |         22 |        138 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\reflection.py                            | Python           |        384 |         93 |         82 |        559 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\mysql\types.py                                 | Python           |        224 |        420 |        130 |        774 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\oracle\__init__.py                             | Python           |         48 |          6 |          5 |         59 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\oracle\base.py                                 | Python           |      1,506 |        684 |        315 |      2,505 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\oracle\cx_oracle.py                            | Python           |        708 |        444 |        176 |      1,328 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\oracle\provision.py                            | Python           |        114 |         16 |         31 |        161 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\__init__.py                         | Python           |        107 |          6 |          5 |        118 |
| c:\Users\Neel Shettigar\Desktop\ReachTeens\venv\Lib\site-packages\sqlalchemy\dialects\postgresql\array.py                            | Python           |        169 |        174 |         51 |        394 |
